MacFile,Tile1,Tile2,Tile3,Tile4,Tile5,Tile6,Tile7,Tile8,Tile9
mufs190-1952-dpb3h157-i001-001.tif,18TYM155785\18TYM155785.jp2,18TYM170785\18TYM170785.jp2,18TYM185785\18TYM185785.jp2,18TYM155770\18TYM155770.jp2,18TYM170770\18TYM170770.jp2,18TYM185770\18TYM185770.jp2,18TYM155755\18TYM155755.jp2,18TYM170755\18TYM170755.jp2,18TYM185755\18TYM185755.jp2
mufs190-1952-dpb3h158-i001-001.tif,18TYM155800\18TYM155800.jp2,18TYM170800\18TYM170800.jp2,18TYM185800\18TYM185800.jp2,18TYM155785\18TYM155785.jp2,18TYM170785\18TYM170785.jp2,18TYM185785\18TYM185785.jp2,18TYM155770\18TYM155770.jp2,18TYM170770\18TYM170770.jp2,18TYM185770\18TYM185770.jp2
mufs190-1952-dpb3h159-i001-001.tif,18TYM140830\18TYM140830.jp2,18TYM155830\18TYM155830.jp2,18TYM170830\18TYM170830.jp2,18TYM140815\18TYM140815.jp2,18TYM155815\18TYM155815.jp2,18TYM170815\18TYM170815.jp2,18TYM140800\18TYM140800.jp2,18TYM155800\18TYM155800.jp2,18TYM170800\18TYM170800.jp2
mufs190-1952-dpb3h160-i001-001.tif,18TYM140845\18TYM140845.jp2,18TYM155845\18TYM155845.jp2,18TYM170845\18TYM170845.jp2,18TYM140830\18TYM140830.jp2,18TYM155830\18TYM155830.jp2,18TYM170830\18TYM170830.jp2,18TYM140815\18TYM140815.jp2,18TYM155815\18TYM155815.jp2,18TYM170815\18TYM170815.jp2
mufs190-1952-dpb3h161-i001-001.tif,18TYM140860\18TYM140860.jp2,18TYM155860\18TYM155860.jp2,18TYM170860\18TYM170860.jp2,18TYM140845\18TYM140845.jp2,18TYM155845\18TYM155845.jp2,18TYM170845\18TYM170845.jp2,18TYM140830\18TYM140830.jp2,18TYM155830\18TYM155830.jp2,18TYM170830\18TYM170830.jp2
mufs190-1952-dpb3h162-i001-001.tif,18TYM140875\18TYM140875.jp2,18TYM155875\18TYM155875.jp2,18TYM170875\18TYM170875.jp2,18TYM140860\18TYM140860.jp2,18TYM155860\18TYM155860.jp2,18TYM170860\18TYM170860.jp2,18TYM140845\18TYM140845.jp2,18TYM155845\18TYM155845.jp2,18TYM170845\18TYM170845.jp2
mufs190-1952-dpb3h163-i001-001.tif,18TYM140890\18TYM140890.jp2,18TYM155890\18TYM155890.jp2,18TYM170890\18TYM170890.jp2,18TYM140875\18TYM140875.jp2,18TYM155875\18TYM155875.jp2,18TYM170875\18TYM170875.jp2,18TYM140860\18TYM140860.jp2,18TYM155860\18TYM155860.jp2,18TYM170860\18TYM170860.jp2
mufs190-1952-dpb3h164-i001-001.tif,18TYM140905\18TYM140905.jp2,18TYM155905\18TYM155905.jp2,18TYM170920\18TYM170920.jp2,18TYM140890\18TYM140890.jp2,18TYM155890\18TYM155890.jp2,18TYM170905\18TYM170905.jp2,18TYM140875\18TYM140875.jp2,18TYM155875\18TYM155875.jp2,18TYM170890\18TYM170890.jp2
mufs190-1952-dpb4h110-i001-001.tif,18TYM080905\18TYM080905.jp2,18TYM095905\18TYM095905.jp2,18TYM110905\18TYM110905.jp2,18TYM080890\18TYM080890.jp2,18TYM095890\18TYM095890.jp2,18TYM110890\18TYM110890.jp2,18TYM080875\18TYM080875.jp2,18TYM095875\18TYM095875.jp2,18TYM110875\18TYM110875.jp2
mufs190-1952-dpb4h112-i001-001.tif,18TYM080860\18TYM080860.jp2,18TYM095860\18TYM095860.jp2,18TYM110860\18TYM110860.jp2,18TYM080845\18TYM080845.jp2,18TYM095845\18TYM095845.jp2,18TYM110845\18TYM110845.jp2,18TYM080830\18TYM080830.jp2,18TYM095830\18TYM095830.jp2,18TYM110830\18TYM110830.jp2
mufs190-1952-dpb4h113-i001-001.tif,18TYM080845\18TYM080845.jp2,18TYM095845\18TYM095845.jp2,18TYM110845\18TYM110845.jp2,18TYM080830\18TYM080830.jp2,18TYM095830\18TYM095830.jp2,18TYM110830\18TYM110830.jp2,18TYM080815\18TYM080815.jp2,18TYM095815\18TYM095815.jp2,18TYM110815\18TYM110815.jp2
mufs190-1952-dpb4h114-i001-001.tif,18TYM080830\18TYM080830.jp2,18TYM095830\18TYM095830.jp2,18TYM110830\18TYM110830.jp2,18TYM080815\18TYM080815.jp2,18TYM095815\18TYM095815.jp2,18TYM110815\18TYM110815.jp2,18TYM080800\18TYM080800.jp2,18TYM095800\18TYM095800.jp2,18TYM110800\18TYM110800.jp2
mufs190-1952-cxi5h79-i001-001.tif,None,None,None,18TXN975325\18TXN975325.jp2,18TXN990325\18TXN990325.jp2,18TYN005325\18TYN005325.jp2,18TXN975310\18TXN975310.jp2,18TXN990310\18TXN990310.jp2,18TYN005310\18TYN005310.jp2
mufs190-1952-cxi5h80-i001-001.tif,18TXN975325\18TXN975325.jp2,18TXN990325\18TXN990325.jp2,18TYN005325\18TYN005325.jp2,18TXN975310\18TXN975310.jp2,18TXN990310\18TXN990310.jp2,18TYN005310\18TYN005310.jp2,18TXN975295\18TXN975295.jp2,18TXN990295\18TXN990295.jp2,18TYN005295\18TYN005295.jp2
